Date,Price,Quantity Sold,exterior,rarity
Jan 01 2021 01: +0,32.004,150,Field-Tested,Covert
Jan 02 2021 01: +0,32.319,130,Field-Tested,Covert
Jan 03 2021 01: +0,32.136,171,Field-Tested,Covert
Jan 04 2021 01: +0,32.388,162,Field-Tested,Covert
Jan 05 2021 01: +0,33.018,159,Field-Tested,Covert
Jan 06 2021 01: +0,33.6,141,Field-Tested,Covert
Jan 07 2021 01: +0,31.425,172,Field-Tested,Covert
Jan 08 2021 01: +0,32.59,172,Field-Tested,Covert
Jan 09 2021 01: +0,33.611,167,Field-Tested,Covert
Jan 10 2021 01: +0,33.119,155,Field-Tested,Covert
Jan 11 2021 01: +0,33.124,162,Field-Tested,Covert
Jan 12 2021 01: +0,33.696,134,Field-Tested,Covert
Jan 13 2021 01: +0,33.812,166,Field-Tested,Covert
Jan 14 2021 01: +0,33.477,171,Field-Tested,Covert
Jan 15 2021 01: +0,32.68,180,Field-Tested,Covert
Jan 16 2021 01: +0,32.679,179,Field-Tested,Covert
Jan 17 2021 01: +0,32.591,182,Field-Tested,Covert
Jan 18 2021 01: +0,32.255,166,Field-Tested,Covert
Jan 19 2021 01: +0,32.573,153,Field-Tested,Covert
Jan 20 2021 01: +0,32.69,171,Field-Tested,Covert
Jan 21 2021 01: +0,32.999,151,Field-Tested,Covert
Jan 22 2021 01: +0,32.494,170,Field-Tested,Covert
Jan 23 2021 01: +0,32.686,171,Field-Tested,Covert
Jan 24 2021 01: +0,32.322,166,Field-Tested,Covert
Jan 25 2021 01: +0,31.574,170,Field-Tested,Covert
Jan 26 2021 01: +0,32.309,163,Field-Tested,Covert
Jan 27 2021 01: +0,31.936,152,Field-Tested,Covert
Jan 28 2021 01: +0,29.651,250,Field-Tested,Covert
Jan 29 2021 01: +0,30.223,226,Field-Tested,Covert
Jan 30 2021 01: +0,29.788,233,Field-Tested,Covert
Jan 31 2021 01: +0,30.063,179,Field-Tested,Covert
Feb 01 2021 01: +0,29.418,195,Field-Tested,Covert
Feb 02 2021 01: +0,29.751,177,Field-Tested,Covert
Feb 03 2021 01: +0,30.352,168,Field-Tested,Covert
Feb 04 2021 01: +0,29.078,186,Field-Tested,Covert
Feb 05 2021 01: +0,29.802,205,Field-Tested,Covert
Feb 06 2021 01: +0,29.707,221,Field-Tested,Covert
Feb 07 2021 01: +0,29.391,196,Field-Tested,Covert
Feb 08 2021 01: +0,28.98,173,Field-Tested,Covert
Feb 09 2021 01: +0,29.25,203,Field-Tested,Covert
Feb 10 2021 01: +0,28.44,234,Field-Tested,Covert
Feb 11 2021 01: +0,28.573,198,Field-Tested,Covert
Feb 12 2021 01: +0,28.034,192,Field-Tested,Covert
Feb 13 2021 01: +0,28.451,199,Field-Tested,Covert
Feb 14 2021 01: +0,27.914,211,Field-Tested,Covert
Feb 15 2021 01: +0,27.373,202,Field-Tested,Covert
Feb 16 2021 01: +0,28.19,218,Field-Tested,Covert
Feb 17 2021 01: +0,27.941,173,Field-Tested,Covert
Feb 18 2021 01: +0,28.794,162,Field-Tested,Covert
